APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,INCOME_AMT,ASK_AMT,IS_SUCCESSFUL
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1200,Preservation,Trust,0,5000,0
T4,Independent,C1000,ProductDev,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T7,Independent,C1000,ProductDev,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,25000-99999,5000,1
T3,Independent,C1000,Preservation,Trust,25000-99999,709815,0
T2,Independent,C1000,ProductDev,Trust,25000-99999,1329410,0
T7,Independent,C1000,ProductDev,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C7200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T7,Independent,C1000,ProductDev,Trust,0,5000,0
T3,Independent,C1700,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,100000-499999,31613,1
T3,Independent,C1200,Preservation,Trust,1M-5M,1549352,0
T3,Independent,C1000,Preservation,Trust,25000-99999,5000,0
T3,Independent,C2000,Preservation,Trust,10M-50M,577113,0
T3,Independent,C1000,Preservation,Trust,25000-99999,44623,0
T3,CompanySponsored,C1000,Preservation,Association,100000-499999,64868,0
T3,Independent,C1000,Preservation,Trust,100000-499999,131620,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,1M-5M,306133,1
T3,Independent,C1000,Preservation,Trust,100000-499999,66916,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,100000-499999,236206,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T5,Independent,C1000,ProductDev,Trust,100000-499999,393704,1
T3,Family/Parent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T9,Independent,C1000,ProductDev,Trust,10M-50M,9955466,1
T19,CompanySponsored,C1000,ProductDev,Association,25000-99999,94869,0
T3,Independent,C1000,Preservation,Association,0,5000,0
T3,Independent,C7000,Preservation,Trust,100000-499999,6501,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C7000,Preservation,Trust,100000-499999,5000,1
T3,Independent,C1200,Preservation,Trust,25000-99999,5000,1
T3,Independent,C4000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T5,CompanySponsored,C1000,ProductDev,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,10000-24999,36607,1
T3,Independent,C7000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,1M-5M,484855,1
T3,Independent,C7000,Preservation,Trust,0,5000,0
T6,Independent,C2000,ProductDev,Trust,25000-99999,137272,1
T3,Independent,C7100,Preservation,Trust,25000-99999,5000,1
T5,CompanySponsored,C3000,ProductDev,Association,0,5000,1
T3,Independent,C1200,Preservation,Trust,25000-99999,101980,0
T3,Independent,C4000,Preservation,Trust,1M-5M,4410503,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,25000-99999,15477,0
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,CommunityServ,Trust,0,5000,0
T3,CompanySponsored,C1200,CommunityServ,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,25000-99999,24211,1
T3,Independent,C1200,Preservation,Trust,100000-499999,9868,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T8,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T4,CompanySponsored,C1000,Preservation,Association,0,5000,0
T3,Independent,C2800,Preservation,Trust,0,5000,1
T4,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1700,Preservation,Trust,10000-24999,5000,1
T3,Independent,C1000,Preservation,Trust,100000-499999,5000,1
T3,CompanySponsored,C2000,CommunityServ,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1200,Preservation,Trust,0,5000,1
T4,Independent,C1000,ProductDev,Trust,0,5000,1
T8,CompanySponsored,C1000,Preservation,Association,0,5000,0
T3,Independent,C6000,Preservation,Trust,0,5000,1
T6,Independent,C1000,ProductDev,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C2100,Preservation,Trust,1-9999,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T6,Independent,C2000,ProductDev,Trust,1-9999,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1700,Preservation,Trust,25000-99999,638229,1
T3,Independent,C1000,Preservation,Trust,25000-99999,20520,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1238,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Association,1-9999,5000,1
T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,10000-24999,8160,1
T5,Independent,C3000,ProductDev,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T4,CompanySponsored,C3000,Preservation,Association,0,5000,0
T3,Independent,C2100,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,34879,0
T6,Independent,C2000,ProductDev,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,100000-499999,205120,0
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2100,Preservation,Trust,0,5000,0
T3,Independent,C2000,Preservation,Trust,100000-499999,12829,1
T3,Independent,C7000,Preservation,Trust,25000-99999,452970,1
T3,Independent,C1000,Preservation,Trust,100000-499999,72961,1
T19,Independent,C1000,Preservation,Association,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,0
T4,Independent,C1000,ProductDev,Co-operative,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,Independent,C7000,ProductDev,Trust,10000-24999,12860,1
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T7,Independent,C1000,ProductDev,Trust,0,5000,1
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,CompanySponsored,C5000,Preservation,Association,0,5000,0
T3,Independent,C1200,Preservation,Trust,25000-99999,696502,0
T3,Independent,C7000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,CompanySponsored,C7000,Preservation,Association,100000-499999,259589,0
T4,Independent,C1000,ProductDev,Trust,0,5000,0
T3,Independent,C1200,Preservation,Trust,0,5000,0
T3,Independent,C7000,Preservation,Trust,10000-24999,5213,0
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T6,Independent,C1000,ProductDev,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2100,Preservation,Trust,0,5000,0
T4,CompanySponsored,C3000,ProductDev,Association,0,5000,1
T6,Independent,C1000,ProductDev,Trust,25000-99999,49112,1
T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,86584,1
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,25000-99999,4108874,1
T9,Independent,C1000,ProductDev,Co-operative,10M-50M,25175802,1
T9,Independent,C1000,ProductDev,Trust,0,5000,1
T5,Independent,C1000,ProductDev,Co-operative,25000-99999,132449,1
T4,CompanySponsored,C1000,Preservation,Association,0,5000,0
T3,Independent,C7120,Preservation,Association,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T7,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,Independent,C7100,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,25000-99999,73686,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T6,Independent,C2000,ProductDev,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,25000-99999,723426,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
T8,CompanySponsored,C1000,Preservation,Association,0,5000,1
T5,Independent,C1000,ProductDev,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,100000-499999,521883,1
T3,Independent,C2000,Preservation,Association,0,5000,0
T3,Independent,C1200,Preservation,Trust,25000-99999,855350,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,0
T7,Independent,C1000,ProductDev,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,100000-499999,370941,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,25000-99999,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
T3,Independent,C2000,Preservation,Trust,100000-499999,1728949,1
T3,Independent,C1200,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T8,Independent,C1000,Preservation,Association,0,5000,0
T7,Independent,C1000,ProductDev,Trust,1M-5M,287332,0
T6,Independent,C1000,ProductDev,Trust,1M-5M,1790960,1
T5,CompanySponsored,C3000,ProductDev,Association,1-9999,23799,0
T3,Independent,C1200,Preservation,Trust,100000-499999,201655,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1800,Preservation,Association,5M-10M,27285052,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
T5,Independent,C2000,ProductDev,Trust,10000-24999,7139,1
T3,Independent,C1000,Preservation,Trust,25000-99999,74643,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,25000-99999,640921,0
T3,Independent,C1000,Preservation,Trust,100000-499999,2705244,0
T3,Independent,C1200,Preservation,Trust,5M-10M,2770474,1
T10,CompanySponsored,C1000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Co-operative,0,5000,0
T6,CompanySponsored,C2000,ProductDev,Association,0,5000,0
T6,CompanySponsored,C2000,ProductDev,Association,0,5000,0
T6,CompanySponsored,C3000,ProductDev,Association,0,5000,0
T6,CompanySponsored,C2000,ProductDev,Association,0,5000,0
T6,CompanySponsored,C3000,ProductDev,Association,0,5000,0
T6,CompanySponsored,C2000,ProductDev,Association,0,5000,0
T6,CompanySponsored,C2000,ProductDev,Association,0,5000,0
T6,CompanySponsored,C2000,ProductDev,Association,0,5000,0
T3,Independent,C4000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,100000-499999,61686,0
T3,Independent,C1000,Preservation,Trust,1M-5M,1064584,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,25000-99999,25736,1
T7,CompanySponsored,C1000,ProductDev,Association,0,5000,1
T3,Independent,C1000,Heathcare,Trust,10M-50M,17512616,1
T3,Independent,C1200,Preservation,Trust,100000-499999,39064,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
T3,Independent,C7000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T7,Independent,C1000,ProductDev,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,25000-99999,67654,0
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Association,25000-99999,139694,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T8,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,Independent,C7000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,1-9999,5000,1
T3,Independent,C7000,Preservation,Trust,0,5000,1
T4,Independent,C3000,ProductDev,Trust,0,5000,1
T3,CompanySponsored,C2100,Preservation,Trust,0,5000,0
T19,CompanySponsored,C1000,ProductDev,Trust,0,5000,0
T19,CompanySponsored,C1000,ProductDev,Trust,0,5000,0
T19,CompanySponsored,C1000,ProductDev,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Association,0,5000,0
T3,Independent,C7000,Preservation,Trust,100000-499999,212362,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,25000-99999,87981,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1200,Preservation,Trust,25000-99999,16027,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,25000-99999,1066994,1
T6,Independent,C2000,ProductDev,Trust,25000-99999,107484,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,100000-499999,9860,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T5,Independent,C3000,ProductDev,Association,0,5000,0
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,100000-499999,20380,1
T4,CompanySponsored,C3000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Association,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,100000-499999,293732,0
T13,Independent,C1000,Preservation,Co-operative,0,5000,1
T3,Independent,C1700,Preservation,Trust,25000-99999,2471994,1
T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
T3,Independent,C2700,Preservation,Trust,1M-5M,2793433,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,25000-99999,324268,1
T3,Independent,C7000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,25000-99999,343650,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,Independent,C1000,Preservation,Trust,100000-499999,497726,1
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T7,Independent,C1000,ProductDev,Trust,0,5000,1
T4,CompanySponsored,C1000,ProductDev,Association,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,25000-99999,28993,1
T3,Independent,C1000,Preservation,Trust,10000-24999,118358,1
T3,Independent,C2000,Preservation,Trust,25000-99999,2257305,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1200,CommunityServ,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Association,0,5000,1
T3,CompanySponsored,C2000,ProductDev,Trust,25000-99999,64723,0
T3,Independent,C1200,Preservation,Trust,10000-24999,403069,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Association,25000-99999,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,25000-99999,8120,0
T3,Independent,C2000,Preservation,Trust,25000-99999,329188,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Association,0,5000,0
T3,CompanySponsored,C1200,CommunityServ,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
T6,Independent,C2000,ProductDev,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,25000-99999,6960,1
T3,Independent,C7000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,100000-499999,180240,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T4,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1-9999,47901,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,100000-499999,23322,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C4000,Preservation,Trust,100000-499999,102050,1
T3,Independent,C4100,Preservation,Trust,0,5000,1
T3,Independent,C7200,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C7000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,25000-99999,25846,1
T9,Independent,C1000,ProductDev,Co-operative,1M-5M,10935786,1
T3,CompanySponsored,C2000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Co-operative,0,5000,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,1M-5M,1562336,1
T3,Independent,C2000,Preservation,Trust,100000-499999,281725,0
T3,CompanySponsored,C2000,Preservation,Association,0,5000,1
T3,Independent,C1000,Preservation,Association,100000-499999,122937,1
T3,Independent,C2700,Preservation,Trust,25000-99999,12753,0
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,10000-24999,410463,1
T3,Independent,C1000,Preservation,Trust,25000-99999,38286,0
T3,Independent,C3000,Preservation,Trust,25000-99999,22527,0
T7,Independent,C1000,ProductDev,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,25000-99999,47129,1
T3,Independent,C1000,Preservation,Trust,1-9999,5000,1
T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,100000-499999,966422,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,1M-5M,718228,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,Independent,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,1M-5M,2461713,0
T3,Independent,C2000,Preservation,Trust,1M-5M,876484,0
T3,Independent,C1000,Preservation,Trust,1-9999,14698,1
T3,Independent,C4000,Preservation,Trust,100000-499999,110885,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,0
